permalink,name,market,status,funding_total_usd
/organization/waywire,#waywire,news,acquired," 17,50,000 "
/organization/tv-communications,&TV Communications,games,operating," 40,00,000 "
/organization/rock-your-paper,'Rock' Your Paper,publishing,operating," 40,000 "
/organization/in-touch-network,(In)Touch Network,electronics,operating," 15,00,000 "
/organization/r-ranch-and-mine,-R- Ranch and Mine,tourism,operating," 60,000 "
/organization/fox-networks,.Fox Networks,advertising,closed," 49,12,393 "
/organization/0-6-com,0-6.com,curated web,operating," 20,00,000 "
/organization/004-technologies,004 Technologies,software,operating, -   
/organization/01games-technology,01Games Technology,games,operating," 41,250 "
/organization/1-2-3-listo,"1,2,3 Listo",e-commerce,operating," 40,000 "
/organization/1-4-all,1-4 All,software,operating, -   
/organization/1-800-dentist,1-800-DENTIST,health and wellness,operating, -   
/organization/1-800-doctors,1-800-DOCTORS,health and wellness,operating," 17,50,000 "
/organization/1-618-technology,1.618 Technology,real estate,operating, -   
/organization/10-minutes-with,10 Minutes With,education,operating," 44,00,000 "
/organization/10-20-media,10-20 Media,e-commerce,operating," 20,50,000 "
/organization/1000-corks,1000 Corks,search,operating," 40,000 "
/organization/1000-markets,1000 Markets,marketplaces,acquired," 5,00,000 "
/organization/1000jobboersen-de,1000jobboersen.de,curated web,operating, -   
/organization/1000memories,1000memories,curated web,acquired," 25,35,000 "
/organization/1000museums-com,1000museums.com,curated web,operating," 49,62,651 "
/organization/1001-menus,1001 Menus,restaurants,operating," 40,59,079 "
/organization/1006-tv,1006.tv,media,operating," 1,00,00,000 "
/organization/100du-tv,100du.tv,hospitality,operating," 30,00,000 "
/organization/100e-com,100e.com,education,operating," 45,00,000 "
/organization/100health,100health,health care information technology,operating," 4,20,000 "
/organization/100plus,100Plus,analytics,acquired," 12,50,000 "
/organization/1010data,1010data,software,operating," 3,50,00,000 "
/organization/10°north,10°North,fashion,operating, -   
/organization/10bestthings,10BestThings,curated web,closed," 50,000 "
/organization/10sec,10sec,mobile commerce,operating," 16,00,000 "
/organization/10seconds-software,10seconds Software,mobility,operating," 1,00,000 "
/organization/10six,10Six,electronics,operating, -   
/organization/10x-technologies,10X Technologies,biotechnology,operating," 30,00,000 "
/organization/10x10-room,10X10 Room,software,operating," 77,500 "
/organization/115-network-disks,115 network disks,education,operating, -   
/organization/117go,117go,social travel,operating," 2,00,00,000 "
/organization/11i-solutions,11i Solutions,enterprise software,operating," 18,00,000 "
/organization/fitfrnd-2,12 Labs,personal health,operating, -   
/organization/12-star-survival,12 Star Survival,sports,operating, -   
/organization/120-sports,120 Sports,sports,operating, -   
/organization/121-rentals,121 Rentals,real estate,operating, -   
/organization/121cast,121cast,mobile,operating," 2,70,000 "
/organization/121nexus,121nexus,pharmaceuticals,operating," 7,94,000 "
/organization/1234enter,1234ENTER,advertising,operating," 6,50,267 "
/organization/123contactform,123ContactForm,saas,operating, -   
/organization/1248,1248,software,operating," 3,78,812 "
/organization/12return,12Return,software,operating," 6,19,494 "
/organization/12society,12Society,e-commerce,acquired, -   
/organization/1366-technologies,1366 Technologies,manufacturing,operating," 6,64,50,000 "
/organization/139shop,139shop,e-commerce,operating, -   
/organization/13th-lab,13th Lab,mobile,operating," 7,00,000 "
/organization/140-proof,140 Proof,advertising,operating," 55,00,000 "
/organization/140fire,140Fire,entertainment,operating," 5,00,000 "
/organization/phoneuser-network,159.com,software,operating," 62,04,822 "
/organization/15five,15Five,software,operating," 34,00,000 "
/organization/15minutesnow,15MinutesNOW,games,operating," 2,00,000 "
/organization/16-mile-solutions,16 Mile Solutions,software,operating," 1,99,957 "
/organization/169-st,169 ST.,games,operating," 50,000 "
/organization/170-systems,170 Systems,software,acquired," 1,40,00,000 "
