id,funding_round_id,funded_object_id,investor_object_id,created_at,updated_at
1,1,c:4,f:1,2007-07-04 04:52:57,2008-02-27 23:14:29
2,1,c:4,f:2,2007-07-04 04:52:57,2008-02-27 23:14:29
3,3,c:5,f:4,2007-05-27 06:09:10,2013-06-28 20:07:23
4,4,c:5,f:1,2007-05-27 06:09:36,2013-06-28 20:07:24
5,4,c:5,f:5,2007-05-27 06:09:36,2013-06-28 20:07:24
6,4,c:5,f:6,2007-05-27 06:09:36,2013-06-28 20:07:24
7,4,c:5,f:3181,2007-05-27 06:09:36,2013-06-28 20:07:24
8,5,c:7299,f:3,2007-05-29 11:05:59,2008-04-16 17:09:12
9,6,c:9,f:6,2007-05-31 20:19:28,2009-01-19 18:29:39
10,7,c:9,f:7,2007-05-31 20:35:03,2009-01-19 18:29:39
11,8,c:13,f:29,2007-06-01 19:14:34,2011-03-10 02:38:18
12,9,c:14,f:48,2007-06-01 20:09:47,2008-03-17 04:11:44
13,9,c:14,f:83,2007-06-01 20:09:47,2008-03-17 04:11:44
14,11,c:15,f:14,2007-06-02 07:38:17,2011-04-12 00:57:58
15,12,c:16,f:8,2007-06-04 08:48:44,2008-11-20 02:59:19
16,12,c:16,f:10,2007-06-04 08:48:44,2008-11-20 02:59:19
17,12,c:16,f:11,2007-06-04 08:48:44,2008-11-20 02:59:19
18,12,c:16,f:1262,2007-06-04 08:48:44,2008-11-20 02:59:19
19,13,c:16,f:12,2007-06-05 05:56:34,2008-11-20 02:59:19
20,13,c:16,f:10,2007-06-05 05:56:34,2008-11-20 02:59:19
21,13,c:16,f:11,2007-06-05 05:56:34,2008-11-20 02:59:19
22,14,c:15,f:14,2007-06-02 07:49:08,2008-06-02 21:46:48
23,14,c:15,f:13,2007-06-02 07:49:08,2008-06-02 21:46:48
24,16,c:18,f:636,2007-06-05 12:39:17,2011-08-22 21:33:27
25,16,c:18,f:62,2007-06-05 12:39:17,2011-08-22 21:33:27
26,18,c:22,f:16,2007-06-07 11:57:59,2012-09-27 02:47:19
27,19,c:23,f:17,2007-06-09 07:24:20,2010-02-24 18:50:18
28,19,c:23,f:18,2007-06-09 07:24:20,2010-02-24 18:50:18
29,20,c:27,f:17,2007-06-09 14:32:59,2008-05-20 20:43:02
30,20,c:27,f:3181,2007-06-09 14:32:59,2008-05-20 20:43:02
31,21,c:27,f:17,2007-06-13 09:32:45,2008-05-20 20:43:02
32,21,c:27,f:728,2007-06-13 09:32:45,2008-05-20 20:43:02
33,21,c:27,f:1080,2007-06-13 09:32:45,2008-05-20 20:43:02
34,22,c:30,f:23,2007-06-11 19:36:06,2008-05-13 15:59:39
35,22,c:30,f:6,2007-06-11 19:36:06,2008-05-13 15:59:39
36,22,c:30,f:168,2007-06-11 19:36:06,2008-05-13 15:59:39
37,23,c:31,f:24,2007-06-12 04:31:19,2008-06-14 02:11:37
38,23,c:31,f:26,2007-06-12 04:31:19,2008-06-14 02:11:37
39,23,c:31,f:25,2007-06-12 04:31:19,2008-06-14 02:11:37
40,24,c:31,f:26,2007-06-12 05:22:48,2008-06-14 02:11:37
41,27,c:34,f:127,2007-06-13 09:04:50,2013-09-06 11:20:07
42,27,c:34,f:67,2007-06-13 09:04:50,2013-09-06 11:20:07
43,28,c:34,f:127,2007-06-13 09:05:28,2013-09-06 11:20:07
44,28,c:34,f:67,2007-06-13 09:05:28,2013-09-06 11:20:07
45,29,c:27,f:17,2007-06-13 09:33:11,2008-05-20 20:43:02
46,29,c:27,f:1080,2007-06-13 09:33:11,2008-05-20 20:43:02
47,30,c:27,f:262,2007-06-13 09:33:45,2010-03-04 14:10:54
48,31,c:35,f:29,2007-06-13 18:26:31,2013-07-18 17:28:21
49,31,c:35,f:18,2007-06-13 18:26:31,2013-07-18 17:28:21
50,31,c:35,f:30,2007-06-13 18:26:31,2013-07-18 17:28:21
51,31,c:35,f:31,2007-06-13 18:26:31,2013-07-18 17:28:21
52,32,c:38,f:32,2007-06-14 18:34:46,2013-07-31 07:52:30
53,32,c:38,f:26,2007-06-14 18:34:46,2013-07-31 07:52:30
54,32,c:38,f:242,2007-06-14 18:34:46,2013-07-31 07:52:30
55,33,c:40,f:34,2007-06-15 09:36:17,2008-06-03 19:26:18
56,33,c:40,f:35,2007-06-15 09:36:17,2008-06-03 19:26:18
